sentence	C	C
of	N	N
Army	N	N
intelligence	C	C
officer	N	N
Chelsea	N	N
Manning	N	N
from	N	N
35	N	N
years	N	N
to	N	N
time	N	N
served	N	N
.	N	N
----------
Six	N	N
of	N	N
the	N	N
victims	C	C
were	N	N
children	N	N
.	N	N
----------
Reports	N	N
vary	C	N
but	N	N
,	N	N
as	N	N
of	N	N
Sunday	N	N
,	N	N
the	N	N
death	N	N
toll	C	N
may	N	N
have	N	N
reached	N	C
26	N	N
.	N	N
----------
David	N	N
Conley	N	N
,	N	N
49	N	N
,	N	N
was	N	N
arrested	C	N
by	N	N
the	N	N
HSCO	C	N
and	N	N
subsequently	C	N
charged	N	N
with	N	C
the	N	N
crimes	N	N
.	N	N
----------
Al-Qaeda	N	N
in	N	N
the	N	N
Islamic	N	N
Maghreb	C	N
claimed	C	C
a	N	N
single	N	N
bomber	N	N
from	N	N
affiliate	C	N
group	N	C
al-Mourabitoun	C	C
conducted	C	C
the	N	N
attack	N	N
.	N	N
----------
In	N	N
the	N	N
last	N	N
two	N	N
months	N	N
,	N	N
Bayern	N	N
Munich	N	N
has	N	N
announced	C	N
Polish	N	N
striker	C	N
Robert	N	N
Lewandowski	C	N
signed	N	N
a	N	N
contract	C	N
extension	C	N
until	N	N
June	N	N
2021	N	N
and	N	N
French	N	N
winger	C	C
Franck	N	N
Ribéry	C	N
signed	N	N
a	N	N
one-year	N	N
contract	N	N
extension	C	N
with	N	N
the	N	N
club	N	N
.	N	N
----------
